anycompany_customer_id,survey_date,csat_score
Company L,2024-01-01,5
Company L,2024-01-08,3
Company L,2024-01-15,2
Company L,2024-01-22,2
Company L,2024-01-29,1
Company L,2024-02-05,5
Company L,2024-02-12,2
Company L,2024-02-19,5
Company L,2024-02-26,1
Company L,2024-03-04,1
Company L,2024-03-11,4
Company L,2024-03-18,2
Company L,2024-03-25,3
Company L,2024-04-01,2
Company L,2024-04-08,1
Company L,2024-04-15,5
Company L,2024-04-22,5
Company L,2024-04-29,5
Company L,2024-05-06,3
Company L,2024-05-13,2
Company L,2024-05-20,4
Company L,2024-05-27,4
Company L,2024-06-03,4
Company L,2024-06-10,2
Company L,2024-06-17,2
Company L,2024-06-24,2
Company L,2024-07-01,4
Company L,2024-07-08,3
Company L,2024-07-15,5
Company L,2024-07-22,2
Company L,2024-07-29,1
Company L,2024-08-05,5
Company L,2024-08-12,3
Company L,2024-08-19,5
Company L,2024-08-26,1
Company L,2024-09-02,1
Company L,2024-09-09,4
Company L,2024-09-16,4
Company L,2024-09-23,1
Company L,2024-09-30,2
Company L,2024-10-07,3
Company A,2024-01-01,1
Company A,2024-01-08,5
Company A,2024-01-15,2
Company A,2024-01-22,5
Company A,2024-01-29,2
Company A,2024-02-05,2
Company A,2024-02-12,1
Company A,2024-02-19,4
Company A,2024-02-26,5
Company A,2024-03-04,5
Company A,2024-03-11,4
Company A,2024-03-18,5
Company A,2024-03-25,4
Company A,2024-04-01,2
Company A,2024-04-08,4
Company A,2024-04-15,2
Company A,2024-04-22,2
Company A,2024-04-29,5
Company A,2024-05-06,5
Company A,2024-05-13,5
Company A,2024-05-20,1
Company A,2024-05-27,1
Company A,2024-06-03,5
Company A,2024-06-10,5
Company A,2024-06-17,4
Company A,2024-06-24,3
Company A,2024-07-01,1
Company A,2024-07-08,2
Company A,2024-07-15,2
Company A,2024-07-22,5
Company A,2024-07-29,4
Company A,2024-08-05,2
Company A,2024-08-12,3
Company A,2024-08-19,2
Company A,2024-08-26,1
Company A,2024-09-02,3
Company A,2024-09-09,4
Company A,2024-09-16,2
Company A,2024-09-23,1
Company A,2024-09-30,5
Company A,2024-10-07,4
Company Y,2024-01-01,2
Company Y,2024-01-08,3
Company Y,2024-01-15,3
Company Y,2024-01-22,4
Company Y,2024-01-29,5
Company Y,2024-02-05,3
Company Y,2024-02-12,2
Company Y,2024-02-19,3
Company Y,2024-02-26,1
Company Y,2024-03-04,5
Company Y,2024-03-11,2
Company Y,2024-03-18,3
Company Y,2024-03-25,2
Company Y,2024-04-01,1
Company Y,2024-04-08,3
Company Y,2024-04-15,1
Company Y,2024-04-22,5
Company Y,2024-04-29,5
Company Y,2024-05-06,4
Company Y,2024-05-13,5
Company Y,2024-05-20,4
Company Y,2024-05-27,1
Company Y,2024-06-03,5
Company Y,2024-06-10,4
Company Y,2024-06-17,4
Company Y,2024-06-24,1
Company Y,2024-07-01,3
Company Y,2024-07-08,5
Company Y,2024-07-15,2
Company Y,2024-07-22,2
Company Y,2024-07-29,2
Company Y,2024-08-05,3
Company Y,2024-08-12,2
Company Y,2024-08-19,3
Company Y,2024-08-26,2
Company Y,2024-09-02,3
Company Y,2024-09-09,2
Company Y,2024-09-16,2
Company Y,2024-09-23,1
Company Y,2024-09-30,2
Company Y,2024-10-07,4
Company C,2024-01-01,5
Company C,2024-01-08,3
Company C,2024-01-15,5
Company C,2024-01-22,2
Company C,2024-01-29,5
Company C,2024-02-05,4
Company C,2024-02-12,4
Company C,2024-02-19,3
Company C,2024-02-26,2
Company C,2024-03-04,2
Company C,2024-03-11,4
Company C,2024-03-18,5
Company C,2024-03-25,1
Company C,2024-04-01,1
Company C,2024-04-08,3
Company C,2024-04-15,4
Company C,2024-04-22,5
Company C,2024-04-29,4
Company C,2024-05-06,4
Company C,2024-05-13,1
Company C,2024-05-20,5
Company C,2024-05-27,1
Company C,2024-06-03,2
Company C,2024-06-10,5
Company C,2024-06-17,3
Company C,2024-06-24,2
Company C,2024-07-01,5
Company C,2024-07-08,5
Company C,2024-07-15,4
Company C,2024-07-22,4
Company C,2024-07-29,5
Company C,2024-08-05,5
Company C,2024-08-12,4
Company C,2024-08-19,2
Company C,2024-08-26,5
Company C,2024-09-02,2
Company C,2024-09-09,2
Company C,2024-09-16,3
Company C,2024-09-23,1
Company C,2024-09-30,1
Company C,2024-10-07,3
Company G,2024-01-01,4
Company G,2024-01-08,4
Company G,2024-01-15,2
Company G,2024-01-22,2
Company G,2024-01-29,3
Company G,2024-02-05,2
Company G,2024-02-12,4
Company G,2024-02-19,2
Company G,2024-02-26,4
Company G,2024-03-04,1
Company G,2024-03-11,1
Company G,2024-03-18,3
Company G,2024-03-25,5
Company G,2024-04-01,4
Company G,2024-04-08,1
Company G,2024-04-15,1
Company G,2024-04-22,1
Company G,2024-04-29,4
Company G,2024-05-06,1
Company G,2024-05-13,5
Company G,2024-05-20,5
Company G,2024-05-27,5
Company G,2024-06-03,2
Company G,2024-06-10,2
Company G,2024-06-17,2
Company G,2024-06-24,3
Company G,2024-07-01,1
Company G,2024-07-08,3
Company G,2024-07-15,5
Company G,2024-07-22,5
Company G,2024-07-29,5
Company G,2024-08-05,3
Company G,2024-08-12,2
Company G,2024-08-19,4
Company G,2024-08-26,5
Company G,2024-09-02,1
Company G,2024-09-09,4
Company G,2024-09-16,3
Company G,2024-09-23,1
Company G,2024-09-30,1
Company G,2024-10-07,1
Company F,2024-01-01,5
Company F,2024-01-08,1
Company F,2024-01-15,4
Company F,2024-01-22,3
Company F,2024-01-29,3
Company F,2024-02-05,4
Company F,2024-02-12,1
Company F,2024-02-19,2
Company F,2024-02-26,4
Company F,2024-03-04,5
Company F,2024-03-11,2
Company F,2024-03-18,3
Company F,2024-03-25,5
Company F,2024-04-01,5
Company F,2024-04-08,1
Company F,2024-04-15,1
Company F,2024-04-22,4
Company F,2024-04-29,2
Company F,2024-05-06,2
Company F,2024-05-13,5
Company F,2024-05-20,3
Company F,2024-05-27,3
Company F,2024-06-03,5
Company F,2024-06-10,5
Company F,2024-06-17,2
Company F,2024-06-24,1
Company F,2024-07-01,5
Company F,2024-07-08,5
Company F,2024-07-15,5
Company F,2024-07-22,3
Company F,2024-07-29,5
Company F,2024-08-05,4
Company F,2024-08-12,3
Company F,2024-08-19,5
Company F,2024-08-26,1
Company F,2024-09-02,4
Company F,2024-09-09,4
Company F,2024-09-16,1
Company F,2024-09-23,4
Company F,2024-09-30,4
Company F,2024-10-07,1
Company U,2024-01-01,5
Company U,2024-01-08,3
Company U,2024-01-15,3
Company U,2024-01-22,2
Company U,2024-01-29,1
Company U,2024-02-05,5
Company U,2024-02-12,3
Company U,2024-02-19,1
Company U,2024-02-26,3
Company U,2024-03-04,5
Company U,2024-03-11,3
Company U,2024-03-18,1
Company U,2024-03-25,5
Company U,2024-04-01,3
Company U,2024-04-08,3
Company U,2024-04-15,1
Company U,2024-04-22,3
Company U,2024-04-29,1
Company U,2024-05-06,3
Company U,2024-05-13,3
Company U,2024-05-20,1
Company U,2024-05-27,4
Company U,2024-06-03,3
Company U,2024-06-10,5
Company U,2024-06-17,1
Company U,2024-06-24,1
Company U,2024-07-01,5
Company U,2024-07-08,5
Company U,2024-07-15,2
Company U,2024-07-22,4
Company U,2024-07-29,4
Company U,2024-08-05,5
Company U,2024-08-12,5
Company U,2024-08-19,1
Company U,2024-08-26,2
Company U,2024-09-02,4
Company U,2024-09-09,5
Company U,2024-09-16,1
Company U,2024-09-23,2
Company U,2024-09-30,1
Company U,2024-10-07,4
Company H,2024-01-01,3
Company H,2024-01-08,2
Company H,2024-01-15,4
Company H,2024-01-22,2
Company H,2024-01-29,3
Company H,2024-02-05,5
Company H,2024-02-12,2
Company H,2024-02-19,3
Company H,2024-02-26,1
Company H,2024-03-04,5
Company H,2024-03-11,5
Company H,2024-03-18,5
Company H,2024-03-25,5
Company H,2024-04-01,1
Company H,2024-04-08,4
Company H,2024-04-15,1
Company H,2024-04-22,3
Company H,2024-04-29,4
Company H,2024-05-06,2
Company H,2024-05-13,5
Company H,2024-05-20,5
Company H,2024-05-27,2
Company H,2024-06-03,2
Company H,2024-06-10,4
Company H,2024-06-17,4
Company H,2024-06-24,2
Company H,2024-07-01,5
Company H,2024-07-08,2
Company H,2024-07-15,5
Company H,2024-07-22,3
Company H,2024-07-29,2
Company H,2024-08-05,5
Company H,2024-08-12,4
Company H,2024-08-19,4
Company H,2024-08-26,4
Company H,2024-09-02,5
Company H,2024-09-09,4
Company H,2024-09-16,2
Company H,2024-09-23,2
Company H,2024-09-30,4
Company H,2024-10-07,5
Company Q,2024-01-01,2
Company Q,2024-01-08,1
Company Q,2024-01-15,3
Company Q,2024-01-22,2
Company Q,2024-01-29,2
Company Q,2024-02-05,1
Company Q,2024-02-12,2
Company Q,2024-02-19,2
Company Q,2024-02-26,4
Company Q,2024-03-04,1
Company Q,2024-03-11,4
Company Q,2024-03-18,3
Company Q,2024-03-25,2
Company Q,2024-04-01,5
Company Q,2024-04-08,5
Company Q,2024-04-15,2
Company Q,2024-04-22,4
Company Q,2024-04-29,5
Company Q,2024-05-06,2
Company Q,2024-05-13,2
Company Q,2024-05-20,3
Company Q,2024-05-27,2
Company Q,2024-06-03,1
Company Q,2024-06-10,1
Company Q,2024-06-17,3
Company Q,2024-06-24,2
Company Q,2024-07-01,1
Company Q,2024-07-08,4
Company Q,2024-07-15,1
Company Q,2024-07-22,1
Company Q,2024-07-29,5
Company Q,2024-08-05,1
Company Q,2024-08-12,4
Company Q,2024-08-19,2
Company Q,2024-08-26,3
Company Q,2024-09-02,3
Company Q,2024-09-09,5
Company Q,2024-09-16,4
Company Q,2024-09-23,1
Company Q,2024-09-30,3
Company Q,2024-10-07,3
Company O,2024-01-01,3
Company O,2024-01-08,2
Company O,2024-01-15,1
Company O,2024-01-22,4
Company O,2024-01-29,1
Company O,2024-02-05,5
Company O,2024-02-12,3
Company O,2024-02-19,5
Company O,2024-02-26,4
Company O,2024-03-04,1
Company O,2024-03-11,1
Company O,2024-03-18,1
Company O,2024-03-25,4
Company O,2024-04-01,5
Company O,2024-04-08,4
Company O,2024-04-15,5
Company O,2024-04-22,4
Company O,2024-04-29,4
Company O,2024-05-06,3
Company O,2024-05-13,4
Company O,2024-05-20,3
Company O,2024-05-27,3
Company O,2024-06-03,4
Company O,2024-06-10,5
Company O,2024-06-17,1
Company O,2024-06-24,1
Company O,2024-07-01,3
Company O,2024-07-08,5
Company O,2024-07-15,1
Company O,2024-07-22,4
Company O,2024-07-29,5
Company O,2024-08-05,4
Company O,2024-08-12,5
Company O,2024-08-19,1
Company O,2024-08-26,5
Company O,2024-09-02,2
Company O,2024-09-09,2
Company O,2024-09-16,3
Company O,2024-09-23,2
Company O,2024-09-30,5
Company O,2024-10-07,4
Company P,2024-01-01,2
Company P,2024-01-08,1
Company P,2024-01-15,4
Company P,2024-01-22,1
Company P,2024-01-29,1
Company P,2024-02-05,3
Company P,2024-02-12,5
Company P,2024-02-19,1
Company P,2024-02-26,4
Company P,2024-03-04,1
Company P,2024-03-11,2
Company P,2024-03-18,1
Company P,2024-03-25,1
Company P,2024-04-01,4
Company P,2024-04-08,2
Company P,2024-04-15,5
Company P,2024-04-22,1
Company P,2024-04-29,3
Company P,2024-05-06,2
Company P,2024-05-13,2
Company P,2024-05-20,1
Company P,2024-05-27,5
Company P,2024-06-03,5
Company P,2024-06-10,3
Company P,2024-06-17,4
Company P,2024-06-24,3
Company P,2024-07-01,5
Company P,2024-07-08,3
Company P,2024-07-15,3
Company P,2024-07-22,3
Company P,2024-07-29,4
Company P,2024-08-05,5
Company P,2024-08-12,1
Company P,2024-08-19,4
Company P,2024-08-26,4
Company P,2024-09-02,2
Company P,2024-09-09,1
Company P,2024-09-16,4
Company P,2024-09-23,1
Company P,2024-09-30,2
Company P,2024-10-07,2
Company J,2024-01-01,4
Company J,2024-01-08,4
Company J,2024-01-15,5
Company J,2024-01-22,4
Company J,2024-01-29,5
Company J,2024-02-05,2
Company J,2024-02-12,2
Company J,2024-02-19,1
Company J,2024-02-26,5
Company J,2024-03-04,5
Company J,2024-03-11,2
Company J,2024-03-18,2
Company J,2024-03-25,2
Company J,2024-04-01,5
Company J,2024-04-08,5
Company J,2024-04-15,2
Company J,2024-04-22,5
Company J,2024-04-29,4
Company J,2024-05-06,4
Company J,2024-05-13,3
Company J,2024-05-20,2
Company J,2024-05-27,4
Company J,2024-06-03,3
Company J,2024-06-10,3
Company J,2024-06-17,2
Company J,2024-06-24,2
Company J,2024-07-01,2
Company J,2024-07-08,1
Company J,2024-07-15,1
Company J,2024-07-22,3
Company J,2024-07-29,2
Company J,2024-08-05,1
Company J,2024-08-12,4
Company J,2024-08-19,3
Company J,2024-08-26,4
Company J,2024-09-02,5
Company J,2024-09-09,3
Company J,2024-09-16,3
Company J,2024-09-23,3
Company J,2024-09-30,2
Company J,2024-10-07,2
Company S,2024-01-01,5
Company S,2024-01-08,4
Company S,2024-01-15,1
Company S,2024-01-22,4
Company S,2024-01-29,4
Company S,2024-02-05,2
Company S,2024-02-12,5
Company S,2024-02-19,2
Company S,2024-02-26,2
Company S,2024-03-04,5
Company S,2024-03-11,3
Company S,2024-03-18,3
Company S,2024-03-25,2
Company S,2024-04-01,2
Company S,2024-04-08,1
Company S,2024-04-15,2
Company S,2024-04-22,2
Company S,2024-04-29,1
Company S,2024-05-06,5
Company S,2024-05-13,4
Company S,2024-05-20,4
Company S,2024-05-27,5
Company S,2024-06-03,1
Company S,2024-06-10,2
Company S,2024-06-17,5
Company S,2024-06-24,2
Company S,2024-07-01,4
Company S,2024-07-08,3
Company S,2024-07-15,4
Company S,2024-07-22,4
Company S,2024-07-29,4
Company S,2024-08-05,1
Company S,2024-08-12,3
Company S,2024-08-19,2
Company S,2024-08-26,4
Company S,2024-09-02,4
Company S,2024-09-09,5
Company S,2024-09-16,4
Company S,2024-09-23,1
Company S,2024-09-30,3
Company S,2024-10-07,2
Company D,2024-01-01,4
Company D,2024-01-08,2
Company D,2024-01-15,2
Company D,2024-01-22,3
Company D,2024-01-29,3
Company D,2024-02-05,3
Company D,2024-02-12,2
Company D,2024-02-19,4
Company D,2024-02-26,3
Company D,2024-03-04,2
Company D,2024-03-11,4
Company D,2024-03-18,5
Company D,2024-03-25,4
Company D,2024-04-01,1
Company D,2024-04-08,5
Company D,2024-04-15,5
Company D,2024-04-22,3
Company D,2024-04-29,3
Company D,2024-05-06,2
Company D,2024-05-13,5
Company D,2024-05-20,4
Company D,2024-05-27,3
Company D,2024-06-03,5
Company D,2024-06-10,2
Company D,2024-06-17,5
Company D,2024-06-24,4
Company D,2024-07-01,5
Company D,2024-07-08,4
Company D,2024-07-15,2
Company D,2024-07-22,2
Company D,2024-07-29,2
Company D,2024-08-05,3
Company D,2024-08-12,5
Company D,2024-08-19,5
Company D,2024-08-26,5
Company D,2024-09-02,5
Company D,2024-09-09,1
Company D,2024-09-16,1
Company D,2024-09-23,2
Company D,2024-09-30,2
Company D,2024-10-07,1
Company N,2024-01-01,1
Company N,2024-01-08,3
Company N,2024-01-15,5
Company N,2024-01-22,5
Company N,2024-01-29,5
Company N,2024-02-05,3
Company N,2024-02-12,4
Company N,2024-02-19,5
Company N,2024-02-26,3
Company N,2024-03-04,1
Company N,2024-03-11,3
Company N,2024-03-18,5
Company N,2024-03-25,2
Company N,2024-04-01,4
Company N,2024-04-08,2
Company N,2024-04-15,1
Company N,2024-04-22,3
Company N,2024-04-29,5
Company N,2024-05-06,1
Company N,2024-05-13,2
Company N,2024-05-20,5
Company N,2024-05-27,2
Company N,2024-06-03,3
Company N,2024-06-10,5
Company N,2024-06-17,4
Company N,2024-06-24,5
Company N,2024-07-01,4
Company N,2024-07-08,3
Company N,2024-07-15,1
Company N,2024-07-22,4
Company N,2024-07-29,5
Company N,2024-08-05,3
Company N,2024-08-12,1
Company N,2024-08-19,1
Company N,2024-08-26,5
Company N,2024-09-02,4
Company N,2024-09-09,5
Company N,2024-09-16,4
Company N,2024-09-23,5
Company N,2024-09-30,2
Company N,2024-10-07,3
Company W,2024-01-01,4
Company W,2024-01-08,1
Company W,2024-01-15,5
Company W,2024-01-22,2
Company W,2024-01-29,3
Company W,2024-02-05,4
Company W,2024-02-12,2
Company W,2024-02-19,5
Company W,2024-02-26,5
Company W,2024-03-04,2
Company W,2024-03-11,1
Company W,2024-03-18,5
Company W,2024-03-25,2
Company W,2024-04-01,4
Company W,2024-04-08,3
Company W,2024-04-15,2
Company W,2024-04-22,3
Company W,2024-04-29,5
Company W,2024-05-06,4
Company W,2024-05-13,1
Company W,2024-05-20,5
Company W,2024-05-27,5
Company W,2024-06-03,2
Company W,2024-06-10,3
Company W,2024-06-17,2
Company W,2024-06-24,4
Company W,2024-07-01,1
Company W,2024-07-08,4
Company W,2024-07-15,2
Company W,2024-07-22,3
Company W,2024-07-29,5
Company W,2024-08-05,4
Company W,2024-08-12,3
Company W,2024-08-19,2
Company W,2024-08-26,3
Company W,2024-09-02,2
Company W,2024-09-09,5
Company W,2024-09-16,2
Company W,2024-09-23,4
Company W,2024-09-30,4
Company W,2024-10-07,1
Company B,2024-01-01,1
Company B,2024-01-08,5
Company B,2024-01-15,1
Company B,2024-01-22,5
Company B,2024-01-29,4
Company B,2024-02-05,1
Company B,2024-02-12,1
Company B,2024-02-19,5
Company B,2024-02-26,5
Company B,2024-03-04,4
Company B,2024-03-11,5
Company B,2024-03-18,1
Company B,2024-03-25,4
Company B,2024-04-01,4
Company B,2024-04-08,1
Company B,2024-04-15,4
Company B,2024-04-22,5
Company B,2024-04-29,3
Company B,2024-05-06,3
Company B,2024-05-13,3
Company B,2024-05-20,2
Company B,2024-05-27,2
Company B,2024-06-03,2
Company B,2024-06-10,1
Company B,2024-06-17,1
Company B,2024-06-24,1
Company B,2024-07-01,1
Company B,2024-07-08,1
Company B,2024-07-15,4
Company B,2024-07-22,5
Company B,2024-07-29,3
Company B,2024-08-05,4
Company B,2024-08-12,2
Company B,2024-08-19,4
Company B,2024-08-26,2
Company B,2024-09-02,1
Company B,2024-09-09,5
Company B,2024-09-16,3
Company B,2024-09-23,4
Company B,2024-09-30,2
Company B,2024-10-07,5
Company R,2024-01-01,4
Company R,2024-01-08,1
Company R,2024-01-15,4
Company R,2024-01-22,1
Company R,2024-01-29,4
Company R,2024-02-05,1
Company R,2024-02-12,3
Company R,2024-02-19,2
Company R,2024-02-26,3
Company R,2024-03-04,3
Company R,2024-03-11,5
Company R,2024-03-18,2
Company R,2024-03-25,2
Company R,2024-04-01,4
Company R,2024-04-08,3
Company R,2024-04-15,1
Company R,2024-04-22,5
Company R,2024-04-29,3
Company R,2024-05-06,5
Company R,2024-05-13,5
Company R,2024-05-20,1
Company R,2024-05-27,3
Company R,2024-06-03,1
Company R,2024-06-10,4
Company R,2024-06-17,4
Company R,2024-06-24,5
Company R,2024-07-01,3
Company R,2024-07-08,3
Company R,2024-07-15,3
Company R,2024-07-22,2
Company R,2024-07-29,2
Company R,2024-08-05,4
Company R,2024-08-12,3
Company R,2024-08-19,4
Company R,2024-08-26,3
Company R,2024-09-02,3
Company R,2024-09-09,1
Company R,2024-09-16,5
Company R,2024-09-23,2
Company R,2024-09-30,3
Company R,2024-10-07,3
Company E,2024-01-01,4
Company E,2024-01-08,2
Company E,2024-01-15,1
Company E,2024-01-22,1
Company E,2024-01-29,2
Company E,2024-02-05,5
Company E,2024-02-12,1
Company E,2024-02-19,1
Company E,2024-02-26,4
Company E,2024-03-04,2
Company E,2024-03-11,3
Company E,2024-03-18,2
Company E,2024-03-25,4
Company E,2024-04-01,3
Company E,2024-04-08,2
Company E,2024-04-15,5
Company E,2024-04-22,1
Company E,2024-04-29,4
Company E,2024-05-06,2
Company E,2024-05-13,5
Company E,2024-05-20,4
Company E,2024-05-27,1
Company E,2024-06-03,4
Company E,2024-06-10,2
Company E,2024-06-17,4
Company E,2024-06-24,5
Company E,2024-07-01,5
Company E,2024-07-08,3
Company E,2024-07-15,1
Company E,2024-07-22,5
Company E,2024-07-29,4
Company E,2024-08-05,4
Company E,2024-08-12,3
Company E,2024-08-19,5
Company E,2024-08-26,2
Company E,2024-09-02,2
Company E,2024-09-09,1
Company E,2024-09-16,3
Company E,2024-09-23,1
Company E,2024-09-30,4
Company E,2024-10-07,2
Company Z,2024-01-01,1
Company Z,2024-01-08,1
Company Z,2024-01-15,5
Company Z,2024-01-22,1
Company Z,2024-01-29,5
Company Z,2024-02-05,4
Company Z,2024-02-12,2
Company Z,2024-02-19,2
Company Z,2024-02-26,3
Company Z,2024-03-04,1
Company Z,2024-03-11,5
Company Z,2024-03-18,3
Company Z,2024-03-25,1
Company Z,2024-04-01,4
Company Z,2024-04-08,4
Company Z,2024-04-15,2
Company Z,2024-04-22,1
Company Z,2024-04-29,5
Company Z,2024-05-06,3
Company Z,2024-05-13,2
Company Z,2024-05-20,4
Company Z,2024-05-27,4
Company Z,2024-06-03,4
Company Z,2024-06-10,1
Company Z,2024-06-17,4
Company Z,2024-06-24,1
Company Z,2024-07-01,2
Company Z,2024-07-08,5
Company Z,2024-07-15,5
Company Z,2024-07-22,2
Company Z,2024-07-29,5
Company Z,2024-08-05,1
Company Z,2024-08-12,4
Company Z,2024-08-19,5
Company Z,2024-08-26,5
Company Z,2024-09-02,2
Company Z,2024-09-09,4
Company Z,2024-09-16,2
Company Z,2024-09-23,3
Company Z,2024-09-30,1
Company Z,2024-10-07,5
Company K,2024-01-01,1
Company K,2024-01-08,4
Company K,2024-01-15,3
Company K,2024-01-22,5
Company K,2024-01-29,1
Company K,2024-02-05,1
Company K,2024-02-12,2
Company K,2024-02-19,5
Company K,2024-02-26,5
Company K,2024-03-04,1
Company K,2024-03-11,2
Company K,2024-03-18,3
Company K,2024-03-25,3
Company K,2024-04-01,4
Company K,2024-04-08,1
Company K,2024-04-15,3
Company K,2024-04-22,5
Company K,2024-04-29,4
Company K,2024-05-06,4
Company K,2024-05-13,2
Company K,2024-05-20,5
Company K,2024-05-27,1
Company K,2024-06-03,2
Company K,2024-06-10,1
Company K,2024-06-17,1
Company K,2024-06-24,1
Company K,2024-07-01,4
Company K,2024-07-08,1
Company K,2024-07-15,1
Company K,2024-07-22,4
Company K,2024-07-29,5
Company K,2024-08-05,3
Company K,2024-08-12,2
Company K,2024-08-19,1
Company K,2024-08-26,5
Company K,2024-09-02,1
Company K,2024-09-09,5
Company K,2024-09-16,3
Company K,2024-09-23,1
Company K,2024-09-30,5
Company K,2024-10-07,4
Company M,2024-01-01,3
Company M,2024-01-08,4
Company M,2024-01-15,3
Company M,2024-01-22,4
Company M,2024-01-29,5
Company M,2024-02-05,4
Company M,2024-02-12,2
Company M,2024-02-19,1
Company M,2024-02-26,3
Company M,2024-03-04,5
Company M,2024-03-11,1
Company M,2024-03-18,5
Company M,2024-03-25,5
Company M,2024-04-01,2
Company M,2024-04-08,5
Company M,2024-04-15,4
Company M,2024-04-22,3
