interaction_id,anycompany_customer_id,agent_id,interaction_type,interaction_date,interaction_duration,issue_category,resolution_status
924184,Company L,646001,email,2024-04-25 05:40,860,technical,resolved
587364,Company A,319858,email,2024-03-20 09:11,1766,technical,resolved
936595,Company Y,860320,email,2024-06-02 03:11,650,billing,resolved
922759,Company C,614075,email,2024-09-20 15:03,1467,technical,resolved
551017,Company G,700351,email,2024-02-12 15:53,411,billing,escalated
132495,Company A,403165,chat,2024-03-20 06:30,819,billing,resolved
314841,Company F,792697,email,2024-05-23 02:51,403,billing,escalated
560229,Company U,932433,phone,2024-03-22 12:50,749,technical,resolved
293832,Company L,160932,email,2024-08-20 21:59,643,account,resolved
318762,Company Y,767662,chat,2024-03-07 22:40,364,technical,resolved
967967,Company U,495380,chat,2024-09-29 18:37,604,technical,resolved
800142,Company H,428423,chat,2024-03-10 21:20,365,refund,resolved
730704,Company Q,342585,chat,2024-07-12 17:21,821,billing,resolved
529304,Company O,276034,chat,2024-05-21 08:04,270,billing,resolved
262022,Company P,386173,chat,2024-08-11 12:07,954,technical,escalated
967805,Company J,518020,phone,2024-05-25 05:45,331,technical,resolved
241173,Company G,448000,phone,2024-10-01 06:17,193,technical,resolved
644278,Company F,579971,phone,2024-02-24 05:03,531,billing,resolved
672831,Company S,337620,chat,2024-09-13 14:41,514,technical,resolved
207333,Company D,218015,chat,2024-02-27 13:26,832,technical,escalated
815446,Company N,321611,chat,2024-08-26 00:32,490,billing,resolved
623462,Company J,526562,chat,2024-08-19 10:39,185,technical,escalated
681365,Company W,597715,email,2024-04-02 15:17,275,account,resolved
561492,Company B,997931,chat,2024-05-04 04:17,663,billing,escalated
285783,Company S,843595,email,2024-08-25 06:16,307,technical,resolved
794285,Company N,394270,chat,2024-05-08 05:28,932,technical,resolved
189114,Company S,139313,phone,2024-06-09 22:01,810,technical,resolved
453435,Company H,204780,phone,2024-03-05 10:34,208,account,resolved
880440,Company O,466902,email,2024-05-04 23:28,829,account,resolved
359410,Company R,199641,chat,2024-10-07 12:47,703,technical,resolved
147702,Company D,745892,chat,2024-06-27 07:20,1791,billing,escalated
415497,Company B,167543,email,2024-06-29 08:29,804,technical,resolved
993477,Company N,456664,phone,2024-01-22 04:42,1180,billing,resolved
605456,Company Y,402890,chat,2024-06-01 19:06,894,technical,resolved
342468,Company N,838864,chat,2024-04-10 18:20,1134,technical,resolved
835243,Company O,535062,phone,2024-03-11 08:42,691,technical,resolved
994231,Company P,251882,email,2024-09-05 06:30,710,account,resolved
